GenotypeName,RootLength,No_Lateral_Roots,R_S_Ratio
101,23.23,22.22,0.458
102,21.85,20.9,0.42
103,23.92,22.88,0.449
104,18.72,20.8,0.642
105,17.46,19.4,0.59
106,17.82,19.8,0.63
107,15.68,19.6,0.414
108,15.84,19.8,0.38
109,16.48,20.6,0.406
110,19.475,19,0.544
111,21.115,20.6,0.499
112,20.91,20.4,0.534
113,34.68,26.52,0.902
114,32.64,24.96,0.828
115,34.68,26.52,0.885
116,21.21,20.2,0.375
117,19.95,19,0.344
118,21.84,20.8,0.368
119,24.96,20.16,0.449
120,26.78,21.63,0.412
121,26.26,21.21,0.44
122,33.66,25.5,0.67
123,33.33,25.25,0.615
124,32.01,24.25,0.657
125,31.2,23.92,1.002
126,29.1,22.31,0.919
127,29.7,22.77,0.982
128,39.52,20.8,1.229
129,36.86,19.4,1.128
130,37.62,19.8,1.205
131,47.84,30.16,0.794
132,44.62,28.13,0.728
133,45.54,28.71,0.778
134,59.28,27.04,1.053
135,55.29,25.22,0.967
136,56.43,25.74,1.033
137,33.28,19.76,0.534
138,31.04,18.43,0.49
139,31.68,18.81,0.524
140,27.04,20.8,0.549
141,25.22,19.4,0.504
142,25.74,19.8,0.539
143,34.32,20.8,0.444
144,32.01,19.4,0.407
145,32.67,19.8,0.435
146,36.4,24.96,0.863
147,33.95,23.28,0.792
148,34.65,23.76,0.846
149,29.12,23.92,0.725
150,27.16,22.31,0.665
151,27.72,22.77,0.711
152,40.56,32.24,0.641
153,37.83,30.07,0.588
154,38.61,30.69,0.628
155,60.32,30.16,1.251
156,56.26,28.13,1.148
157,57.42,28.71,1.226
158,28.6,24.96,0.431
159,26.675,23.28,0.396
160,27.225,23.76,0.423
161,24.96,23.92,0.497
162,23.28,22.31,0.456
163,23.76,22.77,0.487
164,27.04,22.88,0.518
165,25.22,21.34,0.475
166,25.74,21.78,0.508
167,33.28,28.08,0.571
168,31.04,26.19,0.524
169,31.68,26.73,0.56
170,29.12,23.92,0.518
171,27.16,22.31,0.475
172,27.72,22.77,0.508
173,29.12,30.16,0.518
174,27.16,28.13,0.475
175,27.72,28.71,0.508
176,31.2,22.88,0.634
177,29.1,21.34,0.582
178,29.7,21.78,0.621
179,27.04,23.92,0.528
180,25.22,22.31,0.484
181,25.74,22.77,0.517
182,29.12,30.16,0.537
183,27.16,28.13,0.493
184,27.72,28.71,0.526
185,36.4,22.88,0.671
186,33.95,21.34,0.616
187,34.65,21.78,0.658
188,36.4,29.12,0.594
189,33.95,27.16,0.545
190,34.65,27.72,0.582
191,41.6,32.24,0.668
192,38.8,30.07,0.613
193,39.6,30.69,0.655
194,30.16,21.84,0.518
195,28.13,20.37,0.475
196,28.71,20.79,0.508
197,26,20.8,0.439
198,24.25,19.4,0.403
199,24.75,19.8,0.43
200,31.2,23.92,0.509
201,29.1,22.31,0.467
202,29.7,22.77,0.499
203,34.32,22.88,0.525
204,32.01,21.34,0.482
205,32.67,21.78,0.515
206,28.08,24.96,0.508
207,26.19,23.28,0.466
208,26.73,23.76,0.498
209,30.16,22.88,0.698
210,28.13,21.34,0.641
211,28.71,21.78,0.685
212,31.2,23.92,0.526
213,29.1,22.31,0.483
214,29.7,22.77,0.516
215,36.4,20.8,0.636
216,33.95,19.4,0.583
217,34.65,19.8,0.623
218,55.12,22.88,1.119
219,51.41,21.34,1.028
220,52.47,21.78,1.098
221,41.6,30.16,0.845
222,38.8,28.13,0.776
223,39.6,28.71,0.829
224,35.36,32.24,0.733
225,32.98,30.07,0.673
226,33.66,30.69,0.719
227,30.16,26,0.639
228,28.13,24.25,0.586
229,28.71,24.75,0.626
230,30.16,23.92,0.613
231,28.13,22.31,0.562
232,28.71,22.77,0.601
233,33.28,22.88,0.649
234,31.04,21.34,0.596
235,31.68,21.78,0.637
236,31.2,24.96,0.518
237,29.1,23.28,0.475
238,29.7,23.76,0.508
239,38.48,24.96,0.696
240,35.89,23.28,0.639
241,36.63,23.76,0.683
242,36.4,26,0.525
243,33.95,24.25,0.482
244,34.65,24.75,0.515
245,38.48,28.08,0.751
246,35.89,26.19,0.689
247,36.63,26.73,0.736
248,34.32,29.12,0.589
249,32.01,27.16,0.541
250,32.67,27.72,0.578
