GenotypeName,CanopyTemp,SPAD,MSI,RWC,EpicuticularWax
101,33.43,61.00,52.70,74.83,1.53
102,31.45,57.38,49.57,70.38,1.41
103,34.42,62.82,54.27,77.05,1.50
104,31.30,45.97,11.58,98.33,1.35
105,29.20,42.87,10.80,91.71,1.24
106,29.80,43.76,11.02,93.60,1.33
107,30.67,53.31,24.74,80.67,0.73
108,30.99,53.86,24.99,81.49,0.67
109,32.24,56.03,26.00,84.78,0.72
110,29.69,45.89,48.25,94.22,1.14
111,32.19,49.75,52.31,102.15,1.05
112,31.88,49.27,51.81,101.16,1.12
113,32.59,57.02,36.83,84.90,1.17
114,30.67,53.66,34.66,79.90,1.07
115,32.59,57.02,36.83,84.90,1.15
116,32.17,54.04,36.46,88.97,1.36
117,30.26,50.83,34.30,83.69,1.25
118,33.12,55.64,37.55,91.61,1.34
119,29.04,45.89,31.56,71.47,1.17
120,31.16,49.23,33.86,76.68,1.08
121,30.55,48.28,33.20,75.19,1.15
122,31.11,51.10,39.99,98.72,1.19
123,30.81,50.60,39.60,97.75,1.10
124,29.59,48.60,38.03,93.88,1.17
125,33.02,58.55,22.34,71.95,1.23
126,30.80,54.61,20.83,67.10,1.12
127,31.43,55.74,21.26,68.49,1.20
128,32.92,35.46,9.78,101.02,1.16
129,30.70,33.08,9.12,94.22,1.06
130,31.33,33.76,9.31,96.16,1.14
131,33.23,62.50,32.52,85.83,1.73
132,30.99,58.30,30.33,80.05,1.59
133,31.63,59.50,30.95,81.70,1.70
134,34.84,60.01,37.29,89.61,1.48
135,32.50,55.97,34.78,83.58,1.36
136,33.17,57.12,35.50,85.31,1.45
137,34.84,53.25,54.21,89.04,1.56
138,32.50,49.66,50.56,83.05,1.43
139,33.17,50.69,51.61,84.76,1.53
140,35.05,61.46,42.10,93.36,1.27
141,32.69,57.33,39.27,87.07,1.16
142,33.36,58.51,40.08,88.87,1.24
143,35.00,55.22,65.91,89.28,1.08
144,32.64,51.51,61.47,83.27,0.99
145,33.31,52.57,62.74,84.99,1.05
146,34.01,53.66,19.69,171.20,1.37
147,31.72,50.05,18.36,159.67,1.26
148,32.37,51.08,18.74,162.97,1.34
149,32.81,60.74,17.64,93.65,1.35
150,30.60,56.65,16.45,87.34,1.24
151,31.23,57.82,16.79,89.15,1.32
152,34.79,54.60,38.69,88.69,1.66
153,32.45,50.93,36.08,82.72,1.52
154,33.12,51.98,36.83,84.43,1.62
155,37.02,59.07,27.76,89.37,1.44
156,34.53,55.10,25.89,83.35,1.33
157,35.24,56.23,26.42,85.07,1.42
158,32.45,53.87,48.11,86.97,1.31
159,30.26,50.25,44.87,81.12,1.20
160,30.89,51.28,45.80,82.79,1.28
161,35.10,46.59,46.62,104.39,1.30
162,32.74,43.46,43.48,97.36,1.19
163,33.41,44.35,44.38,99.37,1.28
164,33.23,60.53,45.50,87.79,1.43
165,30.99,56.45,42.44,81.88,1.32
166,31.63,57.62,43.31,83.57,1.41
167,34.53,59.59,35.15,114.42,1.36
168,32.20,55.58,32.78,106.72,1.24
169,32.87,56.73,33.46,108.92,1.33
170,34.53,54.29,17.31,75.92,0.95
171,32.20,50.63,16.14,70.81,0.87
172,32.87,51.68,16.48,72.27,0.93
173,31.72,51.17,14.32,68.29,1.09
174,29.59,47.72,13.35,63.70,1.00
175,30.20,48.71,13.63,65.01,1.07
176,34.01,48.05,13.39,90.16,1.31
177,31.72,44.81,12.49,84.09,1.21
178,32.37,45.74,12.74,85.82,1.29
179,31.77,48.36,10.73,87.24,1.74
180,29.63,45.11,10.01,81.37,1.60
181,30.24,46.04,10.22,83.04,1.71
182,32.81,53.66,10.97,86.77,1.35
183,30.60,50.05,10.23,80.93,1.24
184,31.23,51.08,10.44,82.60,1.32
185,33.23,54.18,11.51,88.64,1.81
186,30.99,50.54,10.73,82.68,1.67
187,31.63,51.58,10.95,84.38,1.78
188,33.02,55.54,12.96,85.10,1.74
189,30.80,51.80,12.09,79.38,1.60
190,31.43,52.87,12.34,81.01,1.71
191,32.92,56.26,11.35,90.42,1.30
192,30.70,52.48,10.59,84.33,1.20
193,31.33,53.56,10.81,86.07,1.28
194,33.12,50.44,11.42,90.97,1.81
195,30.89,47.05,10.65,84.85,1.67
196,31.53,48.02,10.87,86.60,1.78
197,33.44,43.06,11.36,93.90,1.60
198,31.19,40.16,10.60,87.58,1.47
199,31.83,40.99,10.82,89.39,1.57
200,33.02,53.14,10.70,88.54,1.18
201,30.80,49.57,9.98,82.58,1.08
202,31.43,50.59,10.18,84.28,1.16
203,35.10,51.58,12.85,90.65,1.14
204,32.74,48.11,11.98,84.55,1.05
205,33.41,49.10,12.23,86.29,1.12
206,33.86,56.47,12.21,85.43,1.57
207,31.58,52.67,11.39,79.68,1.44
208,32.23,53.76,11.62,81.32,1.54
209,32.81,35.88,12.76,172.62,1.51
210,30.60,33.47,11.90,161.00,1.39
211,31.23,34.16,12.14,164.32,1.48
212,35.31,56.99,13.08,77.44,1.55
213,32.93,53.16,12.20,72.23,1.42
214,33.61,54.25,12.45,73.72,1.52
215,32.50,36.50,12.02,117.25,1.65
216,30.31,34.05,11.21,109.36,1.52
217,30.94,34.75,11.44,111.62,1.62
218,32.45,43.37,12.55,87.02,1.12
219,30.26,40.45,11.71,81.17,1.03
220,30.89,41.28,11.95,82.84,1.10
221,34.58,54.91,12.87,74.07,1.61
222,32.25,51.22,12.00,69.08,1.48
223,32.92,52.27,12.25,70.51,1.58
224,35.00,59.59,16.91,87.33,1.09
225,32.64,55.58,15.77,81.45,1.00
226,33.31,56.73,16.10,83.13,1.07
227,38.01,58.86,33.17,92.72,1.05
228,35.45,54.90,30.93,86.48,0.96
229,36.18,56.03,31.57,88.27,1.03
230,35.31,41.81,50.93,88.56,1.11
231,32.93,38.99,47.50,82.60,1.02
232,33.61,39.80,48.48,84.30,1.09
233,31.67,60.94,41.00,95.88,1.18
234,29.54,56.84,38.24,89.42,1.08
235,30.15,58.01,39.03,91.27,1.15
236,31.56,63.23,9.70,85.22,1.49
237,29.44,58.98,9.05,79.48,1.37
238,30.05,60.19,9.23,81.12,1.46
239,35.10,65.52,30.76,145.05,1.40
240,32.74,61.11,28.69,135.28,1.29
241,33.41,62.37,29.28,138.07,1.37
242,29.59,67.81,33.11,85.43,1.32
243,27.60,63.24,30.88,79.68,1.21
244,28.17,64.55,31.51,81.32,1.29
245,29.91,37.54,32.19,81.73,1.25
246,27.90,35.02,30.03,76.23,1.15
247,28.47,35.74,30.65,77.80,1.23
248,31.98,48.26,28.32,84.10,1.99
249,29.83,45.01,26.41,78.44,1.83
250,30.44,45.94,26.95,80.05,1.95
,,,,,
,,,,,
